"code_article";"unite"
"00401206";"PACK"
"00401301";"SEAU"
"00401302";"SEAU"
"00401303";"KG"
"00401304";"PI"
"00401305";"PI"
"00401320";"SEAU"
"00401321";"SEAU"
"00401322";"SEAU"
"00401323";"SEAU"
"00401400";"BID"
"00401401";"BOITE"
"00401440";"PI"
"00401460";"PI"
"00401461";"PI"
"00401462";"PI"
"00402055";"SEAU"
"00402061";"COL"
"00402310";"SEAU"
"00402311";"SEAU"
"00402350";"SEAU"
"00402352";"SEAU"
"00402407";"PI"
"00402675";"SEAU"
"00402680";"SEAU"
"00402681";"SEAU"
"00402685";"SEAU"
"00403020";"KG"
"00403021";"KG"
"00403200";"BOITE"
"00403201";"BOITE"
"00403222";"BOITE"
"00403224";"BOITE"
"00404003";"PI"
"00404012";"BARQ"
"00404020";"PI"
"00404030";"PI"
"00404100";"PI"
"00404101";"PI"
"00404102";"PI"
"00404103";"PI"
"00404202";"PI"
"00404204";"PI"
"00404210";"COL"
"00404212";"PI"
"00404220";"BARQ"
"00404233";"BARQ"
"00404287";"BARQ"
"00404300";"PI"
"00404340";"BARQ"
"00404350";"PI"
"00404404";"PI"
"00404421";"PI"
"00404549";"POC"
"00404554";"POT"
"00404700";"PI"
"00404810";"COL"
"00404813";"PI"
"00404818";"SEAU"
"00404822";"COL"
"00404827";"COL"
"00404828";"POC"
"00404831";"CAR"
"00404851";"PI"
"00404852";"PI"
"00404854";"SEAU"
"00404863";"BARQ"
"00404864";"COL"
"00404868";"PI"
"00404869";"PI"
"00404871";"PI"
"00404875";"COL"
"00404878";"PI"
"00404888";"POC"
"00405000";"COL"
"00405275";"SEAU"
"00406100";"COL"
"00406110";"COL"
"00406120";"COL"
"00406130";"COL"
"00406140";"COL"
"00406141";"CAR"
"00406301";"SEAU"
"00406313";"BID"
"00406315";"BID"
"00441310";"SEAU"
"00444200";"PI"
"00444201";"PI"
"00444832";"COL"
"00444855";"COL"
"00450639";"COL"
"00500000";"PI"
"00500324";"PI"
"00500423";"PI"
"00500520";"SEAU"
"00500523";"SEAU"
"00500524";"SEAU"
"00500526";"SEAU"
"00500535";"PI"
"00500536";"BOITE"
"00500540";"BARQ"
"00500541";"PI"
"00500544";"PI"
"00500576";"BOITE"
"00500650";"POC"
"00500652";"POC"
"00500701";"SACH"
"00500880";"BOUTEILLE"
"00500900";"PI"
"00500907";"COL"
"00500915";"POC"
"00500916";"BOITE"
"00500917";"CAR"
"00500921";"POC"
"00500940";"PI"
"00500943";"PI"
"00500945";"PI"
"00501344";"PI"
"00501352";"PI"
"00507000";"COL"
"00507113";"PI"
"00507114";"SEAU"
"00507115";"PI"
"00507117";"BID"
"00507118";"PI"
"00516000";"COL"
"00516002";"PI"
"00518007";"POC"
"00660417";"PI"
"00802000";"PI"
"00802042";"KG"
"00805084";"PI"
"00807000";"POC"
"00807050";"BOITE"
"00808010";"POC"
"00808015";"BARQ"
"00808021";"PI"
"00P50845";"BOITE"
"00P51250";"PI"
"00P51268";"BID"
"00P51315";"PAQUET"
"00P51317";"POC"
"00P57157";"PI"
"00P67101";"POC"
"01051110";"COL"
"01120423";"POC"
"01300086";"POC"
"01401303";"KG"
"02150160";"POC"
"02150329";"POC"
"02150330";"POC"
"02150333";"BOITE"
"02150335";"PI"
"02150355";"PI"
"02251605";"BOITE"
"03050470";"PI"
"03050601";"SEAU"
"03050602";"SEAU"
"03050604";"PI"
"03050610";"SEAU"
"03050629";"PI"
"03050644";"PI"
"03050647";"PI"
"03050678";"PI"
"03050680";"PI"
"03051100";"BOITE"
"03051106";"POC"
"03051202";"BID"
"03051204";"BID"
"03051212";"L"
"03051216";"PI"
"03051218";"BID"
"03051220";"PI"
"03051223";"BID"
"03051224";"BOUTEILLE"
"03051226";"BID"
"03051241";"BOITE"
"03051254";"BOITE"
"03051312";"POC"
"03051314";"BOITE"
"03051321";"PI"
"03051322";"SAC"
"03051354";"PAQUET"
"03051400";"PI"
"03051401";"BOITE"
"03051405";"SACH"
"03051406";"PI"
"03051407";"BOITE"
"03051408";"PI"
"03051409";"POC"
"03051414";"PI"
"03051421";"PI"
"03051423";"POC"
"03051431";"PI"
"03051440";"CAR"
"03051450";"PI"
"03051456";"PI"
"03051458";"POC"
"03051462";"PI"
"03051467";"POC"
"03051468";"PI"
"03051500";"PI"
"03051533";"BOITE"
"03051566";"PI"
"03051640";"POC"
"03051736";"BOITE"
"03051738";"BOITE"
"03051749";"BOITE"
"03051765";"KG"
"03051826";"BOITE"
"03051900";"CAR"
"03151207";"BID"
"03151310";"BID"
"03351330";"SAC"
"03351331";"POC"
"03351736";"POC"
"0MAIA017";"PI"
"42151674";"POC"
"P0000051";"SACH"
"P0000058";"SAC"
"P0000151";"PI"
"P0000399";"PAQUET"
"P0000431";"BOITE"
"P0000555";"BOUTEILLE"
